Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Record ID
8100174,2,new construction wood frame,01/06/1981,4711,043,1,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,114300,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1596174268
8100175,2,new construction wood frame,01/06/1981,4711,044,3,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,109600,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1597174269
8100176,2,new construction wood frame,01/06/1981,4711,045,5,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,109600,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1598174270
8100177,2,new construction wood frame,01/06/1981,4711,046,7,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,109600,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1599174271
8100178,2,new construction wood frame,01/06/1981,4711,047,9,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,122500,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1600174272
8100179,2,new construction wood frame,01/06/1981,4711,048,11,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,122500,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1601174273
8100180,2,new construction wood frame,01/06/1981,4711,049,15,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,122500,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1602174274
8100181,2,new construction wood frame,01/06/1981,4711,050,17,,Mabrey,Ct,,,,cancelled,05/14/1982,01/06/1981,,,,,,,,,122500,,,,,0,2,,,,,,,10,Bayview Hunters Point,94124,1603174275
8100700,2,new construction wood frame,01/22/1981,7067,040,18,,Minerva,St,,,,cancelled,02/09/1982,01/22/1981,,,,,,,,,100000,,,,,0,4,,,,,,,11,Oceanview/Merced/Ingleside,94112,1670220138
8100701,2,new construction wood frame,01/22/1981,7067,041,20,,Minerva,St,,,,cancelled,01/22/1982,01/22/1981,,,,,,,,,100000,,,,,0,4,,,,,,,11,Oceanview/Merced/Ingleside,94112,1671220139
